_url,birth_year,weight,height,nationality
davis-phinney,1959.0,69.76580124220237,185.60616802584335,United States
stefano-della-santa,1967.0,68.93265425295802,179.567690306287,Italy
dietrich-thurau,1954.0,64.35111672428542,185.31493212522162,Germany
arnaud-gerard,1984.0,70.0,184.0,France
christophe-lavainne,1963.0,66.82583756531471,177.28850018074672,France
gonzalo-rabunal-rios,1984.0,65.0,180.0,Spain
thomas-bonnet,1998.0,55.77495537286942,175.0,France
jean-jacques-philipp,1961.0,69.31246778878653,181.64154725026896,France
nico-verhoeven,1961.0,72.62546954344896,182.46397880437019,Netherlands
laurent-chotard,1976.0,71.94155191382444,180.2478646944561,France
frederic-garnier,1964.0,67.8301989633205,185.59209566556535,France
isaac-canton,1996.0,65.0,180.0,Spain
alain-vasseur,1948.0,67.0,175.0,France
jean-pierre-monsere,1948.0,66.0,178.0,Belgium
steven-caethoven,1981.0,67.0,176.0,Belgium
jose-maria-jimenez,1971.0,70.0,187.0,Spain
mattia-cattaneo,1990.0,67.0,184.0,Italy
james-knox,1995.0,58.0,173.0,Great Britain
geert-malfait,1953.0,70.86725688810037,179.30140792014544,Belgium
david-gaudu,1996.0,53.0,172.0,France
michele-laddomada,1972.0,63.35981545596568,178.0678744664429,Italy
bjarne-riis,1964.0,71.0,184.0,Denmark
jose-alberto-benitez-roman,1981.0,66.0,180.0,Spain
patrick-busolini2,1954.0,52.33642792310467,167.17900723345053,France
roberto-sgambelluri,1974.0,63.0,175.0,Italy
benno-wiss,1962.0,78.03031400663774,181.02262063130357,Switzerland
michal-hrazdira,1977.0,77.0,189.0,Czech Republic
robert-hunter,1977.0,72.0,178.0,South Africa
raffaello-bonusi,1992.0,58.08177416731404,160.0891497397656,Italy
harald-morscher,1972.0,75.57480056781898,184.30484309339974,Austria
thomas-champion,1999.0,70.0,193.0,France
enrico-franzoi,1982.0,70.0,178.0,Italy
mateusz-mroz,1980.0,68.36536747435056,182.3239295234945,Poland
manuel-cardoso,1983.0,70.0,179.0,Portugal
michele-rezzani,1975.0,72.60459296195067,188.60763773662512,Italy
andrea-dolci,1969.0,65.26398344501999,185.7182474488628,Italy
patrick-hosotte,1957.0,72.20087669803019,185.6637816654337,France
sebastian-schwager,1984.0,70.19240468299125,177.47811327718432,Germany
marco-fincato,1970.0,82.09572987315374,188.84235792892167,Italy
mickael-delage,1985.0,70.0,180.0,France
andre-chappuis,1956.0,62.32278431938653,187.53261853168127,France
erich-spahn,1948.0,68.1086806809444,190.76932644807488,Switzerland
wim-van-de-meulenhof,1966.0,70.65066317819895,176.87441825516817,Netherlands
alfons-scheys,1947.0,58.03930569862632,170.59941527855085,Belgium
bruno-cenghialta,1962.0,73.0,184.0,Italy
johan-bruyneel,1964.0,71.0,182.0,Belgium
martin-prazdnovsky,1975.0,66.82277345635478,178.74095887370223,Slovakia
dorian-godon,1996.0,73.0,191.0,France
syver-waersted,1996.0,77.61898660719694,193.0,Norway
antonio-bucciero,1982.0,78.22671527664254,186.8954322255302,Italy
julien-stassen,1988.0,66.0,182.0,Belgium
markus-hoelgaard,1994.0,74.0,188.0,Norway
enrique-martinez,1953.0,68.6173952001308,185.7851894298864,Spain
koen-vekemans,1966.0,59.440590479704845,175.79961741623578,Belgium
louis-pfenninger,1944.0,70.0,183.0,Switzerland
mirko-selvaggi,1985.0,73.0,195.0,Italy
dag-selander,1955.0,60.36464937340663,178.2875096309622,Norway
gianluca-pierobon,1967.0,67.30988390394488,184.55997484165619,Italy
zico-waeytens,1991.0,67.0,180.0,Belgium
twan-castelijns,1989.0,70.0,180.0,Netherlands
roberto-savoldi,1975.0,63.64667406631111,171.06978233939427,Italy
andre-peirsman,1948.0,70.54805230142026,185.24648974648164,Belgium
anass-ait-el-abdia,1993.0,66.0,180.0,Morocco
dino-bertolo,1953.0,72.03713138525295,185.28438742041973,France
mattia-gavazzi,1983.0,70.0,171.0,Italy
david-kopp,1979.0,68.0,184.0,Germany
simone-campagnari,1972.0,67.1765978078571,173.66276428516733,Italy
giairo-ermeti,1981.0,60.0,174.0,Italy
fernando-mendes,1946.0,65.61801305944695,181.68015098410362,Portugal
guillaume-boivin,1989.0,78.0,182.0,Canada
harry-steevens,1945.0,73.0,178.0,Netherlands
ruben-dario-beltran,1964.0,71.13409072456561,176.53830941756857,Colombia
paul-van-hyfte,1972.0,70.0,177.0,Belgium
aketza-pena,1981.0,60.596563077944296,167.85681173536315,Spain
tom-jelte-slagter,1989.0,57.0,169.0,Netherlands
frederik-rodenberg,1998.0,73.0,190.0,Denmark
fiorenzo-favero,1955.0,68.00126962288516,181.43015013710487,Italy
michael-van-staeyen,1988.0,62.0,167.0,Belgium
inaki-isasi-flores,1977.0,70.0,181.0,Spain
jens-mouris,1980.0,91.0,198.0,Netherlands
frans-verbeeck,1941.0,70.32773752217078,184.1429161255814,Belgium
dion-smith,1993.0,67.0,179.0,New Zealand
lennert-van-eetvelt,2001.0,63.0,176.0,Belgium
lars-boven,2001.0,62.0,172.0,Netherlands
jose-del-ramo,1960.0,64.99176541780444,175.44980262281157,Spain
christophe-laborie,1986.0,67.0,181.0,France
karl-maxon,1959.0,61.74433717422665,169.73915861318113,United States
diego-magoni,1955.0,76.69813428607347,185.80545232391736,Italy
dirk-friel,1970.0,58.3640496979813,175.43714519091697,United States
tobias-foss,1997.0,74.0,184.0,Norway
noel-vantyghem,1947.0,64.87686171529884,179.61565139714722,Belgium
tomas-konecny,1973.0,67.0,178.0,Czech Republic
daniel-summerhill,1989.0,70.0,185.0,United States
christian-dumont,1956.0,79.08460731810139,194.22580576447302,Belgium
ettore-badolato,1964.0,60.275531922355384,174.82130291264895,Italy
daniel-beelen,1966.0,61.92554243931135,176.11640306279517,Belgium
nicolas-vogondy,1977.0,62.0,172.0,France
david-gutierrez-palacios,1987.0,77.69387362222562,187.9519937859518,Spain
ben-zwiehoff,1994.0,61.0,182.0,Germany
bert-pronk,1950.0,58.0378044168808,177.6184965930959,Netherlands
wilfried-wesemael,1950.0,66.52041715999512,189.80790601294942,Belgium
ludo-frijns,1957.0,56.07236293844405,164.44563924639613,Belgium
oleg-iarochenko,1962.0,61.563936083907464,177.6851185610608,Russia
andrei-vedernikov,1959.0,66.95882928468664,174.83981797248825,Russia
juan-martinez-oliver,1964.0,67.44476308412773,186.04238728423726,Spain
thomas-pidcock,1999.0,58.0,170.0,Great Britain
gerhard-trampusch,1978.0,60.0,173.0,Austria
alessandro-proni,1982.0,68.0,183.0,Italy
javier-aramendia,1986.0,72.0,187.0,Spain
maryan-hary,1980.0,68.0,185.0,France
jose-francisco,1971.0,65.40058862911624,166.93662407379088,Spain
alessandro-spezialetti,1975.0,67.0,179.0,Italy
ludovic-robeet,1994.0,75.0,194.0,Belgium
christian-poos,1977.0,69.8744702817784,189.3307502760359,Luxembourg
