_url,birth_year,weight,height,nationality
fabio-sacchi,1974.0,68.0,183.0,Italy
pascal-eenkhoorn,1997.0,70.0,185.0,Netherlands
jean-zen,1981.0,,,France
john-van-asten,1960.0,,,Netherlands
stefan-schumacher,1981.0,71.0,183.0,Germany
mauro-simonetti,1948.0,,,Italy
chris-wherry,1973.0,,,United States
eladio-ambite,1970.0,,,Spain
daniele-pietropolli,1980.0,61.0,174.0,Italy
christian-meier,1985.0,61.0,172.0,Canada
davis-phinney,1959.0,,,United States
stefano-della-santa,1967.0,,,Italy
dietrich-thurau,1954.0,,,Germany
arnaud-gerard,1984.0,70.0,184.0,France
christophe-lavainne,1963.0,,,France
gonzalo-rabunal-rios,1984.0,65.0,180.0,Spain
thomas-bonnet,1998.0,,175.0,France
jean-jacques-philipp,1961.0,,,France
nico-verhoeven,1961.0,,,Netherlands
laurent-chotard,1976.0,,,France
frederic-garnier,1964.0,,,France
isaac-canton,1996.0,65.0,180.0,Spain
alain-vasseur,1948.0,67.0,175.0,France
jean-pierre-monsere,1948.0,66.0,178.0,Belgium
steven-caethoven,1981.0,67.0,176.0,Belgium
jose-maria-jimenez,1971.0,70.0,187.0,Spain
mattia-cattaneo,1990.0,67.0,184.0,Italy
james-knox,1995.0,58.0,173.0,Great Britain
geert-malfait,1953.0,,,Belgium
david-gaudu,1996.0,53.0,172.0,France
michele-laddomada,1972.0,,,Italy
bjarne-riis,1964.0,71.0,184.0,Denmark
jose-alberto-benitez-roman,1981.0,66.0,180.0,Spain
patrick-busolini2,1954.0,,,France
roberto-sgambelluri,1974.0,63.0,175.0,Italy
benno-wiss,1962.0,,,Switzerland
michal-hrazdira,1977.0,77.0,189.0,Czech Republic
robert-hunter,1977.0,72.0,178.0,South Africa
raffaello-bonusi,1992.0,,,Italy
harald-morscher,1972.0,,,Austria
thomas-champion,1999.0,70.0,193.0,France
enrico-franzoi,1982.0,70.0,178.0,Italy
mateusz-mroz,1980.0,,,Poland
manuel-cardoso,1983.0,70.0,179.0,Portugal
michele-rezzani,1975.0,,,Italy
andrea-dolci,1969.0,,,Italy
patrick-hosotte,1957.0,,,France
sebastian-schwager,1984.0,,,Germany
marco-fincato,1970.0,,,Italy
mickael-delage,1985.0,70.0,180.0,France
andre-chappuis,1956.0,,,France
erich-spahn,1948.0,,,Switzerland
wim-van-de-meulenhof,1966.0,,,Netherlands
alfons-scheys,1947.0,,,Belgium
bruno-cenghialta,1962.0,73.0,184.0,Italy
johan-bruyneel,1964.0,71.0,182.0,Belgium
martin-prazdnovsky,1975.0,,,Slovakia
dorian-godon,1996.0,73.0,191.0,France
syver-waersted,1996.0,,193.0,Norway
antonio-bucciero,1982.0,,,Italy
